feature,importance,importance_percent
lOBlank,0.4376175330248299,43.761753302482994
loc,0.32915251544341884,32.915251544341885
lOCode,0.056701381012152476,5.670138101215247
v(g),0.052608272237064595,5.2608272237064595
i,0.04303686341904386,4.303686341904386
iv(g),0.03345683957831186,3.345683957831186
ev(g),0.027469066653283393,2.746906665328339
locCodeAndComment,0.019957528631894903,1.9957528631894903
