threshold,f1,specificity
0.05,0.619923588509976,0.033683448026077506
0.06,0.6201715217237225,0.037124230351321987
0.07,0.6201715217237225,0.037124230351321987
0.08,0.6205673758865248,0.038754074610648316
0.09,0.6206113908787857,0.03893516841724013
0.1,0.6267387387387388,0.0746106483158276
0.11,0.6324399328123859,0.10431003259688519
0.12,0.6323325297684272,0.10467222021006882
0.13,0.633074556906401,0.10992394060123144
0.14,0.6353427895981087,0.12730894603404563
0.15,0.6367553112464716,0.1381745744295545
0.16,0.6367486440300171,0.13853676204273813
0.17,0.6428625578045637,0.1789206809127128
0.18,0.6447318080954931,0.19612459253893516
0.19,0.6447267717740701,0.1964867801521188
0.2,0.649026150384108,0.22346975733429916
0.21,0.6587100465952751,0.31419775443679826
0.22,0.6602294297268301,0.3299529156102861
0.23,0.6779571315162741,0.4427743571169866
0.24,0.6815303665388388,0.46124592538935166
0.25,0.6810029445882038,0.4614270191959435
0.26,0.6807826320021442,0.462875769648678
0.27,0.6807826320021442,0.462875769648678
0.28,0.6807864164432529,0.4632379572618616
0.29,0.6830621301775148,0.5101412531691416
0.3,0.6834012597258243,0.5128576602680188
0.31,0.6833116762576573,0.5153929735603042
0.32,0.6829313716360927,0.5191959434987323
0.33,0.6832541235672351,0.520463600144875
0.34,0.6833814894211949,0.5208257877580587
0.35,0.6833814894211949,0.5208257877580587
0.36,0.6843296247407128,0.5363998551249547
0.37,0.6808510638297872,0.5760593987685622
0.38,0.6808510638297872,0.5760593987685622
0.39,0.6807086614173228,0.5862006519377038
0.4,0.671201814058957,0.6325606664252083
0.41,0.6717746945537378,0.6383556682361463
0.42,0.6620765027322404,0.691416153567548
0.43,0.653211009174312,0.7365085114089098
0.44,0.653211009174312,0.7365085114089098
0.45,0.653211009174312,0.7365085114089098
0.46,0.653211009174312,0.7365085114089098
0.47,0.6313585416923266,0.7937341542919232
0.48,0.6309303758471966,0.793915248098515
0.49,0.6309303758471966,0.793915248098515
0.5,0.6309303758471966,0.793915248098515
0.51,0.6309303758471966,0.793915248098515
0.52,0.6062889812889813,0.8286852589641435
0.53,0.6062889812889813,0.8286852589641435
0.54,0.5836639759200986,0.8625498007968128
0.55,0.5836639759200986,0.8625498007968128
0.56,0.5838237306692213,0.8629119884099964
0.57,0.583709787816564,0.8630930822165882
0.58,0.5828195643238799,0.86327417602318
0.59,0.5550914590234769,0.8915248098515031
0.6,0.5397483345669875,0.9067366896052155
0.61,0.5263799939005794,0.9248460702643969
0.62,0.5257857796765334,0.9250271640709887
0.63,0.5255608118419045,0.9250271640709887
0.64,0.5034504391468005,0.9358927924664976
0.65,0.5025157232704403,0.937522636725824
0.66,0.5025157232704403,0.937522636725824
0.67,0.5012594458438288,0.9378848243390077
0.68,0.49952666456295364,0.9387902933719667
0.69,0.49952666456295364,0.9387902933719667
0.7,0.49897363019106267,0.9391524809851504
0.71,0.4988153530247986,0.9393335747917422
0.72,0.4988153530247986,0.9393335747917422
0.73,0.4988153530247986,0.9393335747917422
0.74,0.4988153530247986,0.9393335747917422
0.75,0.49346925772539024,0.9434987323433539
0.76,0.45438046526975745,0.9516479536399856
0.77,0.41099656357388314,0.9625135820354944
0.78,0.37428774928774927,0.9731981166244115
0.79,0.3375667218847782,0.9820717131474104
0.8,0.2856595826153552,0.9891343716044911
0.81,0.27728499807173157,0.9909453096704093
0.82,0.27728499807173157,0.9909453096704093
0.83,0.27728499807173157,0.9909453096704093
0.84,0.273553878893403,0.9918507787033684
0.85,0.273553878893403,0.9918507787033684
0.86,0.27188226181254843,0.9918507787033684
0.87,0.27188226181254843,0.9918507787033684
0.88,0.2716527804689014,0.992212966316552
0.89,0.2709827485946889,0.992212966316552
0.9,0.2709827485946889,0.992212966316552
0.91,0.2709827485946889,0.992212966316552
0.92,0.2598671355998437,0.9934806229626947
0.93,0.2598671355998437,0.9934806229626947
0.94,0.23583217339431298,0.9965592176747555
0.95,0.23311416616855948,0.9969214052879392
