rule_id,condition,predicted_class,confidence,samples,weighted_samples,defect_prob,depth
47,loc > 0.106064 AND loc > 0.250296 AND ev(g) <= 0.000522 AND i <= 0.201962 AND iv(g) <= 0.196970 AND lOCode > 0.285621,0,1.0,7,6.299619703006157,0.0,6
48,loc > 0.106064 AND loc > 0.250296 AND ev(g) <= 0.000522 AND i <= 0.201962 AND iv(g) > 0.196970,0,1.0,15,13.499185077870337,0.0,5
49,loc > 0.106064 AND loc > 0.250296 AND ev(g) <= 0.000522 AND i > 0.201962 AND v(g) <= 0.001333 AND loc <= 0.280986,1,1.0,4,4.500339597011546,1.0,6
50,loc > 0.106064 AND loc > 0.250296 AND ev(g) <= 0.000522 AND i > 0.201962 AND v(g) <= 0.001333 AND loc > 0.280986 AND loc <= 0.447375,0,0.8947368421052632,19,17.549246220092154,0.10526315789473684,7
51,loc > 0.106064 AND loc > 0.250296 AND ev(g) <= 0.000522 AND i > 0.201962 AND v(g) <= 0.001333 AND loc > 0.280986 AND loc > 0.447375,1,0.625,8,8.3252615118385,0.625,7
52,loc > 0.106064 AND loc > 0.250296 AND ev(g) <= 0.000522 AND i > 0.201962 AND v(g) > 0.001333 AND lOBlank <= 0.098028,0,0.6363636363636364,11,10.799959300017703,0.36363636363636365,6
53,loc > 0.106064 AND loc > 0.250296 AND ev(g) <= 0.000522 AND i > 0.201962 AND v(g) > 0.001333 AND lOBlank > 0.098028 AND i <= 0.554032 AND v(g) <= 0.067308,0,1.0,9,8.099511046722203,0.0,8
54,loc > 0.106064 AND loc > 0.250296 AND ev(g) <= 0.000522 AND i > 0.201962 AND v(g) > 0.001333 AND lOBlank > 0.098028 AND i <= 0.554032 AND v(g) > 0.067308 AND iv(g) <= 0.575155,1,0.6894409937888198,161,169.8817074099715,0.6894409937888198,9
55,loc > 0.106064 AND loc > 0.250296 AND ev(g) <= 0.000522 AND i > 0.201962 AND v(g) > 0.001333 AND lOBlank > 0.098028 AND i <= 0.554032 AND v(g) > 0.067308 AND iv(g) > 0.575155,0,0.7692307692307693,13,12.374711416338883,0.23076923076923078,9
56,loc > 0.106064 AND loc > 0.250296 AND ev(g) <= 0.000522 AND i > 0.201962 AND v(g) > 0.001333 AND lOBlank > 0.098028 AND i > 0.554032 AND i <= 0.826640,1,0.9102564102564102,78,86.1806475499611,0.9102564102564102,8
57,loc > 0.106064 AND loc > 0.250296 AND ev(g) <= 0.000522 AND i > 0.201962 AND v(g) > 0.001333 AND lOBlank > 0.098028 AND i > 0.554032 AND i > 0.826640 AND locCodeAndComment <= 0.019375,0,0.5882352941176471,34,33.75010202670086,0.4117647058823529,9
58,loc > 0.106064 AND loc > 0.250296 AND ev(g) <= 0.000522 AND i > 0.201962 AND v(g) > 0.001333 AND lOBlank > 0.098028 AND i > 0.554032 AND i > 0.826640 AND locCodeAndComment > 0.019375,1,0.8529411764705882,34,37.12719043762381,0.8529411764705882,9
59,loc > 0.106064 AND loc > 0.250296 AND ev(g) > 0.000522 AND ev(g) <= 0.061987,1,1.0,85,95.63221643649534,1.0,4
60,loc > 0.106064 AND loc > 0.250296 AND ev(g) > 0.000522 AND ev(g) > 0.061987 AND iv(g) <= 0.151551 AND i <= 0.720964 AND v(g) <= 0.105769,0,1.0,7,6.299619703006157,0.0,7
61,loc > 0.106064 AND loc > 0.250296 AND ev(g) > 0.000522 AND ev(g) > 0.061987 AND iv(g) <= 0.151551 AND i <= 0.720964 AND v(g) > 0.105769 AND locCodeAndComment <= 0.526421 AND locCodeAndComment <= 0.245622,1,0.5939849624060151,133,137.47877332131122,0.5939849624060151,9
62,loc > 0.106064 AND loc > 0.250296 AND ev(g) > 0.000522 AND ev(g) > 0.061987 AND iv(g) <= 0.151551 AND i <= 0.720964 AND v(g) > 0.105769 AND locCodeAndComment <= 0.526421 AND locCodeAndComment > 0.245622,0,0.8571428571428571,14,13.049517860802041,0.14285714285714285,9
63,loc > 0.106064 AND loc > 0.250296 AND ev(g) > 0.000522 AND ev(g) > 0.061987 AND iv(g) <= 0.151551 AND i <= 0.720964 AND v(g) > 0.105769 AND locCodeAndComment > 0.526421 AND locCodeAndComment <= 0.989972,1,1.0,14,15.751188589540412,1.0,9
64,loc > 0.106064 AND loc > 0.250296 AND ev(g) > 0.000522 AND ev(g) > 0.061987 AND iv(g) <= 0.151551 AND i <= 0.720964 AND v(g) > 0.105769 AND locCodeAndComment > 0.526421 AND locCodeAndComment > 0.989972,0,0.6666666666666666,6,5.849952485937862,0.3333333333333333,9
65,loc > 0.106064 AND loc > 0.250296 AND ev(g) > 0.000522 AND ev(g) > 0.061987 AND iv(g) <= 0.151551 AND i > 0.720964,1,1.0,10,11.250848992528866,1.0,6
66,loc > 0.106064 AND loc > 0.250296 AND ev(g) > 0.000522 AND ev(g) > 0.061987 AND iv(g) > 0.151551 AND iv(g) <= 0.180889,1,1.0,27,30.377292279827937,1.0,6
67,loc > 0.106064 AND loc > 0.250296 AND ev(g) > 0.000522 AND ev(g) > 0.061987 AND iv(g) > 0.151551 AND iv(g) > 0.180889 AND v(g) <= 0.212472 AND iv(g) <= 0.287879 AND lOCode <= 0.376361,1,0.6888888888888889,45,47.476871282851775,0.6888888888888889,9
68,loc > 0.106064 AND loc > 0.250296 AND ev(g) > 0.000522 AND ev(g) > 0.061987 AND iv(g) > 0.151551 AND iv(g) > 0.180889 AND v(g) <= 0.212472 AND iv(g) <= 0.287879 AND lOCode > 0.376361,0,0.8181818181818182,11,10.349680845227974,0.18181818181818182,9
69,loc > 0.106064 AND loc > 0.250296 AND ev(g) > 0.000522 AND ev(g) > 0.061987 AND iv(g) > 0.151551 AND iv(g) > 0.180889 AND v(g) <= 0.212472 AND iv(g) > 0.287879,0,1.0,3,2.6998370155740674,0.0,8
70,loc > 0.106064 AND loc > 0.250296 AND ev(g) > 0.000522 AND ev(g) > 0.061987 AND iv(g) > 0.151551 AND iv(g) > 0.180889 AND v(g) > 0.212472,1,0.7997881355932204,944,1019.5288309170955,0.7997881355932204,7
