rule_id,condition,predicted_class,confidence,samples,defect_prob
33,loc > 0.1061 AND loc > 0.2503 AND ev(g) <= 0.0005 AND i <= 0.2020 AND branchCount <= 0.1500 AND loc > 0.3249,0,0.7618801207416991,10,0.23811987925830103
34,loc > 0.1061 AND loc > 0.2503 AND ev(g) <= 0.0005 AND i <= 0.2020 AND branchCount > 0.1500,0,0.8780342352291552,30,0.12196576477084477
35,loc > 0.1061 AND loc > 0.2503 AND ev(g) <= 0.0005 AND i > 0.2020 AND v(g) <= 0.0013,0,0.5925597993050804,31,0.40744020069491954
36,loc > 0.1061 AND loc > 0.2503 AND ev(g) <= 0.0005 AND i > 0.2020 AND v(g) > 0.0013 AND i <= 0.5540 AND b <= 0.4103,1,0.7089364351513109,171,0.7089364351513109
37,loc > 0.1061 AND loc > 0.2503 AND ev(g) <= 0.0005 AND i > 0.2020 AND v(g) > 0.0013 AND i <= 0.5540 AND b > 0.4103,0,0.7618801207416991,20,0.23811987925830103
38,loc > 0.1061 AND loc > 0.2503 AND ev(g) <= 0.0005 AND i > 0.2020 AND v(g) > 0.0013 AND i > 0.5540 AND i <= 0.8266,1,0.9173229636076909,79,0.9173229636076909
39,loc > 0.1061 AND loc > 0.2503 AND ev(g) <= 0.0005 AND i > 0.2020 AND v(g) > 0.0013 AND i > 0.5540 AND i > 0.8266,1,0.6790419496380757,70,0.6790419496380757
40,loc > 0.1061 AND loc > 0.2503 AND ev(g) > 0.0005 AND ev(g) <= 0.0620,1,1.0,85,1.0
41,loc > 0.1061 AND loc > 0.2503 AND ev(g) > 0.0005 AND ev(g) > 0.0620 AND v(g) <= 0.2117,1,0.6556598059686989,164,0.6556598059686989
42,loc > 0.1061 AND loc > 0.2503 AND ev(g) > 0.0005 AND ev(g) > 0.0620 AND v(g) > 0.2117 AND b <= 0.1528,1,0.9039665944072492,290,0.9039665944072492
43,loc > 0.1061 AND loc > 0.2503 AND ev(g) > 0.0005 AND ev(g) > 0.0620 AND v(g) > 0.2117 AND b > 0.1528 AND i <= 0.2728,1,0.5993170545222455,123,0.5993170545222455
44,loc > 0.1061 AND loc > 0.2503 AND ev(g) > 0.0005 AND ev(g) > 0.0620 AND v(g) > 0.2117 AND b > 0.1528 AND i > 0.2728,1,0.8202300030688081,637,0.8202300030688081
